Продукт;Жиры, г;Белки, г;Углеводы, г;Калорийность, Ккал;;;
Арахис;45,2;26,3;9,9;552;;;
Арахис жареный;52;26;13,4;626;;;
Горох отварной;0,8;10,5;20,4;130;;;
Горошек зеленый;0,2;5;8,3;55;;;
Горошек зеленый, консервы;0,2;3,1;6,5;40;;;
Горчица;30,8;25,8;23,4;474;;;
Грецкий орех;60,8;16,2;11,1;656;;;
Каштаны;2;2;46;213;;;
Кедровые орехи;68;14;13;673;;;
Кешью;48,5;18,5;22,5;600;;;
Кунжут;48,7;19,4;12,2;565;;;
Лещина;62,6;13;9,3;653;;;
Мак;47,5;17,5;14,5;556;;;
Миндаль;53,7;18,6;13;609;;;
Миндаль жареный;55,9;22,4;12,3;642;;;
Мука соевая полуобезжиренная;9,5;43;19,1;334;;;
Оливки (мякоть);23,7;1,6;19;296;;;
Оливки, консервы;16,3;1,8;5,2;175;;;
Подсолнечник;52,9;20,7;10,5;601;;;
Рапс (низкоэруковый);43,6;30,8;7,2;544;;;
Семечки подсолнечника;51;21;20;584;;;
Сладкий попкорн;13;4;79;431;;;
Соленый попкорн;30;9;56;527;;;
Соя, зерно;17,3;34,9;17,3;364;;;
Суп с бобовыми (фасоль);1,3;3;6,9;54;;;
Тыквенные семечки;42;33;12;500;;;
Фасоль (стручок);0,3;2,5;3;23;;;
Фасоль, зерно;2;21;47;298;;;
Фисташки;44;21;28;557;;;
Фундук;61,5;15;9,4;651;;;
Фундук жареный;66,1;17,8;9,4;703;;;
Чечевица, зерно;1,5;24;46,3;295;;;
Майонез «Провансаль»;67;2,8;3,7;629;;;
Майонез столовый молочный;67;2,4;3,9;627;;;
Маргарин низкокалорийный 60% жирности;60;0,5;0,7;545;;;
Маргарин «Здоровье»;82;0,5;0,7;743;;;
Маргарин «Экстра»;82;0,5;1;744;;;
Маргарин молочный столовый;82;0,3;1;743;;;
Маргарин сливочный;82;0,3;1;743;;;
Масло сладко-сливочное «Бутербродное»;61,5;1,3;1,7;566;;;
Масло сладко-сливочное «Вологодское»;82,5;0,5;0,8;748;;;
Масло сладко-сливочное несоленое;82,5;0,5;0,8;748;;;
Шпик свиной;92,8;1,4;0;841;;;
Шпик свиной соленый;90;1,4;0;816;;;
Баранки простые из муки 1 сорта;1,3;10,4;64,2;311;;;
Батон нарезной из муки высшего сорта;2,9;7,5;51,4;262;;;
Батон нарезной из муки 1 сорта;3;7,7;50,1;259;;;
Батон простой из муки 1 сорта;1;8;49,1;238;;;
Биточки перловые с творогом;6,4;7,9;18,9;166;;;
Биточки пшенные;5,9;6,9;22,2;170;;;
Блины из муки 1 сорта;3,1;5,1;32,6;189;;;
Бублики простые из муки 1 сорта;1,1;9,1;57,1;276;;;
Булка ярославская из муки 1 сорта;5,3;7,6;53,7;294;;;
Булки городские из муки высшего сорта;2,4;7,7;52,9;265;;;
Булочки молочные из муки высшего сорта;2,2;8,8;50,3;257;;;
Булочки сдобные из муки высшего сорта;9,4;7,9;55,5;339;;;
Вареники из муки 1 сорта;6,4;12;16,2;172;;;
Ватрушка из муки высшего сорта;6,4;11,9;37,5;256;;;
Галеты из муки 1 сорта;1,4;11;69,5;345;;;
Галеты из муки высшего сорта;10,2;9,7;65,6;393;;;
Галушки из муки 1 сорта;1;3,9;20,3;106;;;
Жареный рис;5,5;4,2;21;151;;;
Запеканка рисовая;5,6;4;19,4;144;;;
Запеканка рисовая с творогом;7,1;5,1;26,1;189;;;
Зерно мягкой пшеницы;2,2;11,8;59,5;305;;;
Зерно продовольственное, гречиха;3,2;10,8;56;296;;;
Зерно продовольственное, кукуруза;4,9;10,3;60;325;;;
Зерно продовольственное, овес;6,2;10;55,1;316;;;
Зерно продовольственное, просо;3,9;11,2;54,6;298;;;
Зерно продовольственное, рис;2,6;7,5;62,3;303;;;
Зерно продовольственное, рожь;2,2;9,9;55,8;283;;;
Зерно продовольственное, ячмень;2,4;10,3;56,4;288;;;
Зерно твердой пшеницы;2,5;13;57,5;304;;;
Каша гречневая из крупы ядрица;3,4;3;14,6;101;;;
Каша из хлопьев «Геркулес» овсяная;4;2,4;14,8;105;;;
Каша манная вязкая;2,9;2,2;16,4;100;;;
Каша овсяная;4,1;2,6;15,5;109;;;
Каша перловая;3,5;2,9;22,9;135;;;
Каша пшеничная рассыпчатая из крупы «Полтавская»;3,6;4,4;25,7;153;;;
Каша пшенная;3,4;2,8;16,8;109;;;
Каша рисовая;3,5;2,4;25,8;144;;;
Каша ячневая;2,9;2,1;15,3;96;;;
Клецки из муки высшего сорта;4,1;4,1;19,4;131;;;
Котлеты манные;5,3;3;20,2;141;;;
Крахмал кукурузный;0,6;1;83,5;343;;;
Крекеры с отрубями;14,1;9,2;63,2;416;;;
Крупа «Артек»;1,2;11;68,5;329;;;
Крупа «Полтавская»;1,3;11,5;67,9;329;;;
Крупа гречневая продел;2,3;9,5;60,4;300;;;
Крупа гречневая ядрица;3,3;12,6;57,1;308;;;
Крупа кукурузная;1,2;8,3;71;328;;;
Крупа манная;1;10,3;70,6;333;;;
Крупа овсяная;6,1;12,3;59,5;342;;;
Крупа перловая ячневая;1,1;9,3;66,9;315;;;
Крупа пшено шлифованное;3,3;11,5;66,5;342;;;
Крупа рисовая;1;7;74;333;;;
Крупа ячневая;1,3;10;65,4;313;;;
Кус-кус;0,2;3,8;23,1;111;;;
Лапша домашняя;3,7;12;60,1;322;;;
Лапшевник с творогом;7,4;7,7;20,3;180;;;
Макароны из муки 1 сорта ;1,6;11,2;68,4;333;;;
Макароны из муки в/с;1,3;11;70,5;338;;;
Макароны отварные;0,4;3,6;20;98;;;
