продукт, 100 гр;калорийность;белки;жиры;углеводы;калий, мг;фосфор, мг;натрий, мг;магний, мг;;;
фрукты и ягоды;;;;;;;;;;;
абрикосы;44;0.9;0.1;9;305;26;3;8;;;
авокадо;160;2;15;1.8;485;52;7;29;;;
айва;48;0.6;0.5;9.6;144;24;14;14;;;
ананас;52;0.3;0.1;11.8;134;8;1;13;;;
апельсин;43;0.9;0.2;8.1;197;23;13;13;;;
арбуз;27;0.7;0.1;5.8;110;7;16;12;;;
бананы;96;1.5;0.5;21;348;28;31;42;;;
брусника;46;0.7;0.5;8.2;90;16;7;7;;;
виноград;72;0.6;0.6;15.4;225;22;26;17;;;
вишня;52;0.8;0.2;10.6;256;30;20;26;;;
голубика;39;1;0.5;6.6;51;8;6;7;;;
гранат;72;0.7;0.6;14.5;150;8;2;2;;;
грейпфрут;35;0.7;0.2;6.5;184;18;13;10;;;
груша;47;0.4;0.3;10.3;155;16;14;12;;;
ежевика;34;1.5;0.5;4.4;208;32;21;29;;;
инжир;54;0.7;0.2;12;190;14;18;17;;;
киви;47;0.8;0.4;8.1;300;34;5;25;;;
клубника;41;0.8;0.4;7.5;161;23;18;18;;;
клюква;28;0.5;0.2;3.7;119;11;1;15;;;
крыжовник;45;0.7;0.2;9.1;260;28;23;9;;;
курага;222;5.2;0.3;51;1717;146;17;105;;;
лимон;34;0.9;0.1;3;163;22;11;12;;;
мандарин;38;0.8;0.2;7.5;155;17;12;11;;;
малина;46;0.8;0.5;8.3;224;37;10;22;;;
морошка;40;0.8;0.9;7.4;180;28;1;29;;;
облепиха;82;1.2;5.4;5.7;193;9;4;30;;;
персики;45;0.9;0.1;9.5;363;34;30;16;;;
слива;49;0.8;0.3;9.6;214;20;18;9;;;
смородина черная;44;1;0.4;7.3;350;33;32;31;;;
смородина красная;43;0.6;0.2;7.7;275;33;21;17;;;
смородина белая;42;0.5;0.2;8;270;23;2;9;;;
финики;292;2.5;0.5;69.2;370;56;32;69;;;
хурма;67;0.5;0.4;15.3;200;42;15;56;;;
черешня;52;1.1;0.4;10.6;233;28;13;24;;;
черника;44;1.1;0.6;7.6;51;13;6;6;;;
шиповник сухой;284;3.4;1.4;48.3;50;17;11;17;;;
яблоки;47;0.4;0.4;9.8;278;11;26;9;;;
овощи и зелень;;;;;;;;;;;
базилик. свеий;23;3.2;0.6;1.1;295;56;4;64;;;
баклажаны;24;1.2;0.1;4.5;238;34;6;9;;;
горошек зеленый;73;5;0.2;12.8;285;122;2;38;;;
кабачки;24;0.6;0.3;4.6;238;12;2;9;;;
капуста белокачанная;28;1.8;0.2;4.7;300;31;13;16;;;
капуста краснокачанная;26;0.8;0.2;5.1;302;32;4;16;;;
капуста цветная;30;2.5;0.3;4.2;210;51;10;17;;;
капуста брокколи;34;2.8;0.4;4;316;66;33;21;;;
картофель;77;2;0.4;16.3;568;58;5;23;;;
кинза (зелень);23;2.1;0.5;0.9;521;48;46;26;;;
лук зеленый (перо);20;1.3;0.1;3.2;259;26;10;18;;;
лук репчатый;41;1.4;0.2;8.2;175;58;4;14;;;
морковь;35;1.3;0.1;6.9;200;55;21;38;;;
огурцы грунтовые;14;0.8;0.1;2.5;141;42;8;14;;;
огурцы парниковые;11;0.7;0.1;1.9;196;30;7;14;;;
перец зеленый сладкий;27;1.3;0.1;5.3;163;16;2;7;;;
перец красный сладкий;27;1.3;0.1;5.3;163;16;2;7;;;
петрушка (зелень);49;3.7;0.4;7.6;800;95;34;85;;;
редис;20;1.2;0.1;3.4;255;44;10;13;;;
редька (черная);36;1.9;0.2;6.7;357;26;13;22;;;
репа;32;1.5;0.1;6.2;238;34;17;17;;;
салат (латук);16;1.5;0.2;2;220;34;8;40;;;
свекла;42;1.5;0.1;8.8;288;43;46;22;;;
томаты (грунтовые);24;1.1;0.2;3.8;290;26;3;20;;;
томаты (парниковые);14;0.6;0;3.8;243;35;15;0;;;
тыква;22;1;0.1;4.4;204;25;4;14;;;
чеснок;149;6.5;0.5;29.9;260;100;17;30;;;
грибы и бобовые;;;;;;;;;;;
белые (свежие);34;3.7;1.7;1.1;468;89;6;15;;;
горох цельный;298;20.5;2;49.5;873;329;33;107;;;
лисички (свежие);19;1.9;1.1;1;450;44;3;7;;;
подберезовики (свежие);20;2.3;0.9;1.2;443;171;3;15;;;
подосиновики (свежие);22;3.3;0.5;1.2;404;70;6;16;;;
рыжики;22;1.9;0.8;0.5;310;41;6;8;;;
соя зерно;364;36.7;17.8;17.3;1607;603;6;226;;;
сыроежки (свежие);19;1.7;0.7;1.5;269;40;4;11;;;
фасоль;298;21;2;47;1100;480;40;103;;;
чечевица;295;24;1.5;46.3;672;390;55;80;;;
яйца;;;;;;;;;;;
яйцо куриное;157;12.7;11.5;0.7;140;192;134;12;;;
яйцо перепелиное;16;11.9;13.1;0.6;144;218;115;32;;;
яйцо утиное;185;12.8;13.8;1.5;222;220;146;17;;;
яйцо индюшиное;171;13.7;11.9;1.2;142;170;151;13;;;
яйцо гусиное;185;13.9;13.3;1.4;210;208;138;16;;;
рыба и морепродукты;;;;;;;;;;;
горбуша;140;20.5;6.5;0;335;200;70;30;;;
